|   affiliation_no | name_of_institution                                    | state       | district          | postal_address                                                                                                                 |   pin_code | website                                            |   year_of_foundation | date_of_first_opening_of_school   | head_of_institution         | status_of_the_school   | school_type   | affiliation_period_start   | affiliation_period_end   | remarks   |
|-----------------:|:-------------------------------------------------------|:------------|:------------------|:-------------------------------------------------------------------------------------------------------------------------------|-----------:|:---------------------------------------------------|---------------------:|:----------------------------------|:----------------------------|:-----------------------|:--------------|:---------------------------|:-------------------------|:----------|
|           230259 | AIR FORCE SCHOOL CHABUA                                | ASSAM       | DIBRUGARH         | AIR FORCE SCHOOOL CHABUA AIR FORCE STATION CHABUA CHABUA                                                                       |     786102 | afschoolchabua.in                                  |                 1983 | 1983-01-01                        | NURAN HUSSAIN               | Middle Class           | INDEPENDENT   | 2021-04-01                 | 2024-03-31               |           |
|           300001 | PM SHRI KENDRIYA VIDYALAYA                             | BIHAR       | PATNA             | DANAPUR CANTT PATNA DISTT BIHAR                                                                                                |     801503 | www.kvdanapurpatna.org                             |                 1963 | 2009-01-25                        | SANJEEV KUMAR SINHA         | Senior Secondary Level | KV            | 2023-04-01                 | 2028-03-31               |           |
|           300003 | PM SHRI KENDRIYA VIDYALAYA                             | BIHAR       | PATNA             | KANKAR BAGH PATNA BIHAR                                                                                                        |     800020 | https://no1patna.kvs.ac.in/                        |                 1966 | 2009-01-25                        | MAHESHWAR PRASAD SINGH      | Senior Secondary Level | KV            | 2024-04-01                 | 2029-03-31               |           |
|           300011 | PM SHRI KENDRIYA VIDYALAYA                             | BIHAR       | PATNA             | CRPF MOKAMAGHAT PATNA BIHAR                                                                                                    |     803303 |                                                    |                 1982 | 1983-07-02                        | DR ANAND PRAKASH            | Senior Secondary Level | KV            | 2017-04-01                 | 2030-03-31               |           |
|          1100003 | PM SHRI KENDRIYA VIDYALAYA NO 1                        | MAHARASHTRA | MUMBAI            | NAVY NAGAR COLOBA MUMBAI MAHARASHTRA                                                                                           |     400005 | https://no1colaba.kvs.ac.in                        |                 1963 | 2009-01-25                        | VIVEK SHRIVASTAVA           | Senior Secondary Level | KV            | 2025-04-01                 | 2030-03-31               |           |
|          1100004 | PM SHRI KENDRIYA VIDYALAYA                             | MAHARASHTRA | MUMBAI            | I I T POWAI MUMBAI MAHARASHTRA                                                                                                 |     400076 | https://iitpowai.kvs.ac.in                         |                 1964 | 2009-01-25                        | V S WANKHADE                | Senior Secondary Level | KV            | 2023-04-01                 | 2029-03-31               |           |
|          1100005 | KENDRIYA VIDYALAYA                                     | MAHARASHTRA | MUMBAI            | CGS COLONY KOLIOWADA ANTOP HILL MUMBAI MAHARASHTRA                                                                             |     400037 | https://koliwada.kvs.ac.in                         |                 1976 | 2009-01-25                        | ALKA A GAIKWAD              | Senior Secondary Level | KV            | 2008-04-01                 | 2013-03-31               |           |
|          1100024 | PM SHRI KENDRIYA VIDYALAYA NO 3                        | MAHARASHTRA | MUMBAI            | I N S KUNJALI, NEAR R C CHURCH, COLABA, MUMBAI, MAHARASHTRA                                                                    |     400005 | www.no3colaba.kvs.ac.in                            |                 1980 | 2000-01-01                        | SURESH YADAV                | Senior Secondary Level | KV            | 2026-04-01                 | 2031-03-31               |           |
|          1100025 | PM SHRI KENDRIYA VIDYALAYA NO.2                        | MAHARASHTRA | MUMBAI            | NEW NAVY NAGAR COLABA MUMBAI MAHARASHTRA                                                                                       |     400005 | https://no2colaba.kvs.ac.in                        |                 1978 | 2005-04-01                        | SAVITA YADAV                | Senior Secondary Level | KV            | 2023-04-01                 | 2028-03-31               |           |
